,medicine,precision,recall,f1-score
0,桂枝,0.9770992366412213,0.9588014981273408,0.9678638941398866
1,柴胡,1.0,0.9024390243902439,0.9487179487179488
2,黃芩,0.99581589958159,0.9296875,0.9616161616161617
3,茯苓,0.9796954314720813,0.919047619047619,0.9484029484029485
4,澤瀉,1.0,0.922077922077922,0.9594594594594595
5,附子,0.9921875,0.9477611940298507,0.9694656488549619
6,甘草,0.975,0.9722991689750693,0.9736477115117891
7,當歸,1.0,0.9178743961352657,0.9571788413098237
8,白芍,0.9871382636655949,0.9331306990881459,0.959375
9,炙甘草,0.973753280839895,0.973753280839895,0.973753280839895
