,medicine,precision,recall,f1-score
0,麻黃,1.0,1.0,1.0
1,桂枝,0.9525547445255474,0.9775280898876404,0.964879852125693
2,細辛,0.9637305699481865,0.9637305699481865,0.9637305699481865
3,生薑,0.9075144508670521,0.9691358024691358,0.9373134328358208
4,柴胡,0.966183574879227,0.975609756097561,0.9708737864077668
5,石膏,0.8901098901098901,1.0,0.9418604651162791
6,知母,0.897196261682243,0.9896907216494846,0.9411764705882353
7,黃連,0.9219858156028369,0.9923664122137404,0.9558823529411766
8,黃芩,0.9682539682539683,0.953125,0.9606299212598426
9,龍膽草,0.8301886792452831,0.9887640449438202,0.9025641025641026
10,大黃,0.8782608695652174,0.9711538461538461,0.9223744292237442
11,茯苓,0.9444444444444444,0.9714285714285714,0.9577464788732394
12,澤瀉,0.990990990990991,0.9523809523809523,0.9713024282560706
13,乾薑,0.9342105263157895,0.9793103448275862,0.9562289562289562
14,附子,0.9739776951672863,0.9776119402985075,0.9757914338919925
15,枳實,0.8673469387755102,0.9550561797752809,0.9090909090909091
16,烏藥,0.8529411764705882,0.9886363636363636,0.9157894736842105
17,厚朴,0.8490566037735849,0.9574468085106383,0.8999999999999999
18,茜草,0.8857142857142857,0.9789473684210527,0.93
19,川芎,0.8882978723404256,0.9823529411764705,0.9329608938547485
20,鬱金,0.8761904761904762,1.0,0.934010152284264
21,半夏,0.9,0.9745222929936306,0.9357798165137615
22,牡蠣,0.9047619047619048,0.9827586206896551,0.9421487603305786
23,白朮,0.9277777777777778,0.9709302325581395,0.9488636363636362
24,大棗,0.9036144578313253,0.9803921568627451,0.9404388714733541
25,甘草,0.9802816901408451,0.96398891966759,0.9720670391061452
26,補骨脂,0.9503105590062112,0.9807692307692307,0.9652996845425866
27,當歸,0.9481132075471698,0.9710144927536232,0.9594272076372314
28,白芍,0.9871382636655949,0.9331306990881459,0.959375
29,阿膠,0.84,1.0,0.9130434782608695
30,炙甘草,0.9812332439678284,0.9606299212598425,0.9708222811671088
