,medicine,precision,recall,f1-score
0,桂枝,0.9525547445255474,0.9775280898876404,0.964879852125693
1,柴胡,0.966183574879227,0.975609756097561,0.9708737864077668
2,黃芩,0.9682539682539683,0.953125,0.9606299212598426
3,茯苓,0.9444444444444444,0.9714285714285714,0.9577464788732394
4,澤瀉,0.990990990990991,0.9523809523809523,0.9713024282560706
5,附子,0.9739776951672863,0.9776119402985075,0.9757914338919925
6,甘草,0.9802816901408451,0.96398891966759,0.9720670391061452
7,當歸,0.9481132075471698,0.9710144927536232,0.9594272076372314
8,白芍,0.9871382636655949,0.9331306990881459,0.959375
9,炙甘草,0.9812332439678284,0.9606299212598425,0.9708222811671088
