,medicine,precision,recall,f1-score
0,麻黃,1.0,1.0,1.0
1,桂枝,0.9770992366412213,0.9588014981273408,0.9678638941398866
2,荊芥,1.0,0.8125,0.896551724137931
3,防風,1.0,0.8620689655172413,0.9259259259259258
4,細辛,0.9943502824858758,0.9119170984455959,0.9513513513513513
5,白芷,1.0,0.8571428571428571,0.9230769230769229
6,生薑,0.9931972789115646,0.9012345679012346,0.9449838187702264
7,辛夷,1.0,0.9642857142857143,0.9818181818181817
8,葛根,1.0,0.8181818181818182,0.8999999999999999
9,升麻,1.0,0.9090909090909091,0.9523809523809523
10,柴胡,1.0,0.9024390243902439,0.9487179487179488
11,蟬蛻,1.0,0.8333333333333334,0.9090909090909091
12,石膏,1.0,0.9012345679012346,0.948051948051948
13,知母,1.0,0.9072164948453608,0.9513513513513513
14,梔子,1.0,0.9,0.9473684210526315
15,天花粉,1.0,0.9333333333333333,0.9655172413793105
16,夏枯草,1.0,0.9090909090909091,0.9523809523809523
17,決明子,1.0,0.875,0.9333333333333333
18,生地,1.0,0.8450704225352113,0.9160305343511449
19,牡丹皮,1.0,1.0,1.0
20,連翹,1.0,0.9545454545454546,0.9767441860465117
21,射干,1.0,1.0,1.0
22,黃連,1.0,0.9541984732824428,0.9765625
23,黃芩,0.99581589958159,0.9296875,0.9616161616161617
24,黃柏,1.0,0.8913043478260869,0.9425287356321839
25,龍膽草,1.0,0.8876404494382022,0.9404761904761906
26,大黃,1.0,0.9038461538461539,0.9494949494949494
27,芒硝,1.0,0.9428571428571428,0.9705882352941176
28,防己,1.0,0.9122807017543859,0.9541284403669724
29,秦艽,1.0,1.0,1.0
30,絡石藤,1.0,1.0,1.0
31,蒼朮,1.0,0.8888888888888888,0.9411764705882353
32,草果,1.0,1.0,1.0
33,茯苓,0.9796954314720813,0.919047619047619,0.9484029484029485
34,豬苓,1.0,0.8571428571428571,0.9230769230769229
35,薏苡仁,1.0,0.8888888888888888,0.9411764705882353
36,海金砂,1.0,1.0,1.0
37,澤瀉,1.0,0.922077922077922,0.9594594594594595
38,車前子,1.0,1.0,1.0
39,滑石,1.0,0.8333333333333334,0.9090909090909091
40,木通,0.9811320754716981,0.9454545454545454,0.9629629629629631
41,通草,1.0,1.0,1.0
42,赤小豆,1.0,0.8888888888888888,0.9411764705882353
43,燈心草,1.0,0.75,0.8571428571428572
44,乾薑,0.9926470588235294,0.9310344827586207,0.9608540925266904
45,附子,0.9921875,0.9477611940298507,0.9694656488549619
46,吳茱萸,1.0,0.9516129032258065,0.975206611570248
47,枳實,1.0,0.9325842696629213,0.9651162790697675
48,烏藥,1.0,0.875,0.9333333333333333
49,厚朴,1.0,0.851063829787234,0.9195402298850576
50,大腹皮,1.0,0.8571428571428571,0.9230769230769229
51,青皮,1.0,0.6923076923076923,0.8181818181818181
52,薤白,1.0,0.9230769230769231,0.9600000000000002
53,麥芽,1.0,0.8875,0.9403973509933774
54,側柏葉,1.0,0.8275862068965517,0.9056603773584907
55,槐花,1.0,0.9166666666666666,0.9565217391304348
56,三七,1.0,0.7,0.8235294117647058
57,茜草,1.0,0.9052631578947369,0.9502762430939226
58,川芎,1.0,0.8705882352941177,0.9308176100628931
59,乳香,1.0,0.8888888888888888,0.9411764705882353
60,延胡索,1.0,1.0,1.0
61,鬱金,1.0,0.9021739130434783,0.9485714285714285
62,紅花,1.0,1.0,1.0
63,桃仁,1.0,0.9090909090909091,0.9523809523809523
64,牛膝,1.0,0.9,0.9473684210526315
65,半夏,1.0,0.8471337579617835,0.9172413793103449
66,白附子,1.0,0.9473684210526315,0.972972972972973
67,桔梗,1.0,0.8529411764705882,0.9206349206349206
68,旋覆花,1.0,0.9591836734693877,0.9791666666666665
69,瓜蔞,1.0,0.9,0.9473684210526315
70,海藻,1.0,0.8333333333333334,0.9090909090909091
71,杏仁,1.0,0.9344262295081968,0.9661016949152541
72,紫菀,1.0,0.875,0.9333333333333333
73,龍骨,1.0,0.926829268292683,0.9620253164556962
74,牡蠣,1.0,0.896551724137931,0.9454545454545454
75,酸棗仁,1.0,0.9,0.9473684210526315
76,遠志,1.0,0.96875,0.9841269841269842
77,小麥,1.0,0.8571428571428571,0.9230769230769229
78,代赭石,1.0,0.95,0.9743589743589745
79,黃耆,1.0,0.9047619047619048,0.9500000000000001
80,白朮,0.9696969696969697,0.9302325581395349,0.9495548961424332
81,大棗,0.9861111111111112,0.9281045751633987,0.9562289562289562
82,甘草,0.975,0.9722991689750693,0.9736477115117891
83,巴戟天,1.0,0.9354838709677419,0.9666666666666666
84,補骨脂,1.0,0.9423076923076923,0.9702970297029702
85,益智仁,1.0,1.0,1.0
86,陽起石,1.0,0.9487179487179487,0.9736842105263156
87,續斷,1.0,0.7,0.8235294117647058
88,杜仲,1.0,0.8571428571428571,0.9230769230769229
89,何首烏,1.0,0.9375,0.9677419354838711
90,當歸,1.0,0.9178743961352657,0.9571788413098237
91,白芍,0.9871382636655949,0.9331306990881459,0.959375
92,阿膠,1.0,0.9285714285714286,0.9629629629629631
93,西洋參,1.0,1.0,1.0
94,龜板,1.0,0.896551724137931,0.9454545454545454
95,鱉甲,1.0,0.975,0.9873417721518988
96,山茱萸,1.0,0.8461538461538461,0.9166666666666667
97,覆盆子,1.0,1.0,1.0
98,五味子,1.0,0.68,0.8095238095238095
99,烏梅,1.0,0.9090909090909091,0.9523809523809523
100,五倍子,1.0,1.0,1.0
101,炙甘草,0.973753280839895,0.973753280839895,0.973753280839895
