,medicine,precision,recall,f1-score
0,麻黃,1.0,1.0,1.0
1,桂枝,0.9770992366412213,0.9588014981273408,0.9678638941398866
2,細辛,0.9943502824858758,0.9119170984455959,0.9513513513513513
3,生薑,0.9931972789115646,0.9012345679012346,0.9449838187702264
4,柴胡,1.0,0.9024390243902439,0.9487179487179488
5,石膏,1.0,0.9012345679012346,0.948051948051948
6,知母,1.0,0.9072164948453608,0.9513513513513513
7,黃連,1.0,0.9541984732824428,0.9765625
8,黃芩,0.99581589958159,0.9296875,0.9616161616161617
9,龍膽草,1.0,0.8876404494382022,0.9404761904761906
10,大黃,1.0,0.9038461538461539,0.9494949494949494
11,茯苓,0.9796954314720813,0.919047619047619,0.9484029484029485
12,澤瀉,1.0,0.922077922077922,0.9594594594594595
13,乾薑,0.9926470588235294,0.9310344827586207,0.9608540925266904
14,附子,0.9921875,0.9477611940298507,0.9694656488549619
15,枳實,1.0,0.9325842696629213,0.9651162790697675
16,烏藥,1.0,0.875,0.9333333333333333
17,厚朴,1.0,0.851063829787234,0.9195402298850576
18,茜草,1.0,0.9052631578947369,0.9502762430939226
19,川芎,1.0,0.8705882352941177,0.9308176100628931
20,鬱金,1.0,0.9021739130434783,0.9485714285714285
21,半夏,1.0,0.8471337579617835,0.9172413793103449
22,牡蠣,1.0,0.896551724137931,0.9454545454545454
23,白朮,0.9696969696969697,0.9302325581395349,0.9495548961424332
24,大棗,0.9861111111111112,0.9281045751633987,0.9562289562289562
25,甘草,0.975,0.9722991689750693,0.9736477115117891
26,補骨脂,1.0,0.9423076923076923,0.9702970297029702
27,當歸,1.0,0.9178743961352657,0.9571788413098237
28,白芍,0.9871382636655949,0.9331306990881459,0.959375
29,阿膠,1.0,0.9285714285714286,0.9629629629629631
30,炙甘草,0.973753280839895,0.973753280839895,0.973753280839895
