,medicine,precision,recall,f1-score
92,阿膠,0.84,1.0,0.9130434782608695
93,西洋參,1.0,1.0,1.0
94,龜板,0.6170212765957447,1.0,0.7631578947368421
95,鱉甲,0.8888888888888888,1.0,0.9411764705882353
96,山茱萸,0.65,1.0,0.787878787878788
97,覆盆子,0.5333333333333333,1.0,0.6956521739130435
98,五味子,0.5102040816326531,1.0,0.6756756756756757
99,烏梅,0.6875,1.0,0.8148148148148148
100,五倍子,0.5789473684210527,1.0,0.7333333333333333
101,炙甘草,0.9812332439678284,0.9606299212598425,0.9708222811671088
